ev_id,ev_type,ev_year,ev_time,ev_highest_injury,ev_nr_apt_loc,latitude,longitude,mid_air,on_ground_collision,light_cond,wx_cond_basic,sky_cond_ceil,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,wx_int_precip,altimeter
20230628192482,ACC,2023.0,30,FATL,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230628192483,ACC,2023.0,719,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230628192484,ACC,2023.0,1615,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,5000.0,416.0,82.0,63.0,290.0,4.0,0.0,UNKNOWN,0.0
20230628192485,ACC,2023.0,1258,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,77.0,63.0,10.0,5.0,0.0,UNKNOWN,0.0
20230629192486,ACC,2023.0,1230,FATL,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230629192487,ACC,2023.0,2346,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,88.0,52.0,0.0,7.0,0.0,UNKNOWN,0.0
20230629192488,ACC,2023.0,1850,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,4900.0,416.0,59.0,48.0,80.0,7.0,0.0,UNKNOWN,0.0
20230629192489,ACC,2023.0,1400,FATL,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230630192490,ACC,2023.0,1505,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,82.0,0.0,0.0,2.0,0.0,UNKNOWN,0.0
20230630192492,ACC,2023.0,1340,SERS,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,79.0,70.0,350.0,4.0,0.0,UNKNOWN,0.0
20230630192493,INC,2023.0,1419,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,UNK,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230630192494,ACC,2023.0,1849,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,81.0,57.0,300.0,8.0,0.0,UNKNOWN,0.0
20230702192495,ACC,2023.0,1502,FATL,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,86.0,73.0,200.0,4.0,0.0,UNKNOWN,0.0
20230703192496,ACC,2023.0,2310,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,1400.0,416.0,52.0,50.0,80.0,8.0,0.0,UNKNOWN,0.0
