ev_id,Aircraft_Key,crew_no,crew_category,crew_age,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_tox_perf,pc_profession,bfr,bfr_date,ft_as_of,pilot_flying
20080228X00243,1,1,PLT,47.0,CL1,4.0,2007/12/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/8/1 00:00:00,0.0,
20080228X00243,1,2,CPLT,53.0,CL1,4.0,2007/7/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008/1/1 00:00:00,0.0,
20080228X00244,1,1,PLT,28.0,CL3,4.0,2006/11/1 00:00:00,UNKNOWN,N,UNK,UNKNOWN,2007/4/1 00:00:00,0.0,
20080228X00245,1,1,PLT,46.0,CL1,4.0,2007/9/10 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/7/30 00:00:00,0.0,
20080228X00245,1,2,CPLT,32.0,CL1,4.0,2007/5/22 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/9/6 00:00:00,0.0,
20080228X00246,1,1,PLT,53.0,CL2,4.0,2007/9/1 00:00:00,UNKNOWN,N,UNK,UNKNOWN,2006/9/1 00:00:00,0.0,
20080229X00247,1,1,PLT,32.0,CL3,4.0,2007/10/26 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080229X00248,1,1,PLT,41.0,CL2,4.0,2006/8/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080229X00249,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080229X00253,1,1,PLT,52.0,CL3,4.0,2006/5/12 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008/1/16 00:00:00,0.0,
20080304X00255,1,1,PLT,49.0,NONE,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080304X00256,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080304X00257,1,1,PLT,34.0,CL1,4.0,2007/9/17 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/12/4 00:00:00,0.0,
20080304X00258,1,1,DSTU,57.0,CL3,4.0,2007/10/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080304X00260,1,1,PLT,31.0,CL1,4.0,2008/1/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/8/1 00:00:00,0.0,
20080304X00260,1,2,CPLT,26.0,CL1,4.0,2007/5/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/7/1 00:00:00,0.0,
20080304X00261,1,1,PLT,49.0,NONE,4.0,2005/8/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080305X00263,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080305X00264,1,1,PLT,52.0,CL3,4.0,2007/7/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/4/1 00:00:00,0.0,
20080305X00265,1,1,PLT,63.0,CL2,4.0,2002/1/14 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080305X00265,2,1,PLT,71.0,NONE,4.0,2006/2/21 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2008-01-01,0.0,
20080305X00266,1,1,DSTU,48.0,CL3,4.0,2007/9/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080305X00267,1,1,PLT,58.0,CL1,4.0,2008/2/26 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008/2/4 00:00:00,0.0,
20080305X00267,1,2,CPLT,48.0,CL1,4.0,2007/7/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/9/7 00:00:00,0.0,
